Video Title: NEMS Buckling Snap Through x2.0.mp4
Unit for displacement: Unit
Note: The coordinate system is anchored at NW 
           Frame        Time (s)              Δx      Confidence           Model      Resolution             FPS          Filter    Center (X,Y)       Top (X,Y)    Bottom (X,Y)
             502          17.310          -9.721               -Continuity + Regression         418x360              29       Greyscale      (208, 166)       (218, 21)      (219, 336)
             503          17.345          -9.721               -Continuity + Regression         418x360              29       Greyscale      (208, 166)       (218, 21)      (219, 336)
             504          17.379          -9.790               -Continuity + Regression         418x360              29       Greyscale      (208, 167)       (218, 21)      (219, 336)
             505          17.414          -9.804               -Continuity + Regression         418x360              29       Greyscale      (208, 166)       (218, 21)      (219, 336)
             506          17.448          -9.816               -Continuity + Regression         418x360              29       Greyscale      (208, 167)       (218, 21)      (219, 336)
             507          17.483          -9.816               -Continuity + Regression         418x360              29       Greyscale      (208, 167)       (218, 21)      (219, 336)
             508          17.517          -9.902               -Continuity + Regression         418x360              29       Greyscale      (208, 167)       (218, 21)      (219, 336)
             509          17.552          -9.904               -Continuity + Regression         418x360              29       Greyscale      (208, 167)       (218, 21)      (219, 336)
             510          17.586          -9.905               -Continuity + Regression         418x360              29       Greyscale      (208, 167)       (218, 21)      (219, 336)
             511          17.621          -9.937               -Continuity + Regression         418x360              29       Greyscale      (208, 167)       (218, 21)      (219, 336)
             512          17.655          -9.937               -Continuity + Regression         418x360              29       Greyscale      (208, 167)       (218, 21)      (219, 336)
             513          17.690          -9.937               -Continuity + Regression         418x360              29       Greyscale      (208, 167)       (218, 21)      (219, 336)
             514          17.724          -9.937               -Continuity + Regression         418x360              29       Greyscale      (208, 168)       (218, 21)      (219, 336)
             515          17.759          -9.986               -Continuity + Regression         418x360              29       Greyscale      (208, 169)       (218, 21)      (219, 336)
             516          17.793          -9.986               -Continuity + Regression         418x360              29       Greyscale      (208, 169)       (218, 21)      (219, 336)
             517          17.828         -10.003               -Continuity + Regression         418x360              29       Greyscale      (208, 169)       (218, 21)      (219, 336)
             518          17.862         -10.003               -Continuity + Regression         418x360              29       Greyscale      (208, 169)       (218, 21)      (219, 336)
             519          17.897         -10.029               -Continuity + Regression         418x360              29       Greyscale      (208, 169)       (218, 21)      (219, 336)
             520          17.931         -10.024               -Continuity + Regression         418x360              29       Greyscale      (208, 169)       (218, 21)      (219, 336)
             521          17.966         -10.025               -Continuity + Regression         418x360              29       Greyscale      (208, 169)       (218, 21)      (219, 336)
             522          18.000         -10.224               -Continuity + Regression         418x360              29       Greyscale      (208, 168)       (218, 21)      (219, 336)
             523          18.034         -10.238               -Continuity + Regression         418x360              29       Greyscale      (208, 168)       (218, 21)      (219, 336)
             524          18.069         -10.258               -Continuity + Regression         418x360              29       Greyscale      (208, 168)       (218, 21)      (219, 336)
             525          18.103         -10.258               -Continuity + Regression         418x360              29       Greyscale      (208, 168)       (218, 21)      (219, 336)
             526          18.138         -10.258               -Continuity + Regression         418x360              29       Greyscale      (208, 169)       (218, 21)      (219, 336)
             527          18.172         -10.282               -Continuity + Regression         418x360              29       Greyscale      (208, 170)       (218, 21)      (219, 336)
             528          18.207         -10.358               -Continuity + Regression         418x360              29       Greyscale      (207, 170)       (218, 21)      (219, 336)
             529          18.241         -10.370               -Continuity + Regression         418x360              29       Greyscale      (207, 170)       (218, 21)      (219, 336)
             530          18.276         -10.399               -Continuity + Regression         418x360              29       Greyscale      (207, 170)       (218, 21)      (219, 336)
             531          18.310         -10.420               -Continuity + Regression         418x360              29       Greyscale      (207, 169)       (218, 21)      (219, 336)
             532          18.345         -10.420               -Continuity + Regression         418x360              29       Greyscale      (207, 169)       (218, 21)      (219, 336)
             533          18.379         -10.424               -Continuity + Regression         418x360              29       Greyscale      (207, 169)       (218, 21)      (219, 336)
             534          18.414         -10.495               -Continuity + Regression         418x360              29       Greyscale      (207, 169)       (218, 21)      (219, 336)
             535          18.448         -10.541               -Continuity + Regression         418x360              29       Greyscale      (207, 169)       (218, 21)      (219, 336)
             536          18.483         -10.541               -Continuity + Regression         418x360              29       Greyscale      (207, 169)       (218, 21)      (219, 336)
             537          18.517         -10.582               -Continuity + Regression         418x360              29       Greyscale      (207, 169)       (218, 21)      (219, 336)
             538          18.552         -10.582               -Continuity + Regression         418x360              29       Greyscale      (207, 169)       (218, 21)      (219, 336)
             539          18.586         -10.582               -Continuity + Regression         418x360              29       Greyscale      (207, 169)       (218, 21)      (219, 336)
             540          18.621         -10.600               -Continuity + Regression         418x360              29       Greyscale      (207, 169)       (218, 21)      (219, 336)
             541          18.655         -10.600               -Continuity + Regression         418x360              29       Greyscale      (207, 169)       (218, 21)      (219, 336)
             542          18.690         -10.600               -Continuity + Regression         418x360              29       Greyscale      (207, 169)       (218, 21)      (219, 336)
             543          18.724         -10.647               -Continuity + Regression         418x360              29       Greyscale      (207, 169)       (218, 21)      (219, 336)
             544          18.759         -10.647               -Continuity + Regression         418x360              29       Greyscale      (207, 169)       (218, 21)      (219, 336)
             545          18.793         -10.682               -Continuity + Regression         418x360              29       Greyscale      (207, 169)       (218, 21)      (219, 336)
             546          18.828         -10.682               -Continuity + Regression         418x360              29       Greyscale      (207, 169)       (218, 21)      (219, 336)
             547          18.862         -10.680               -Continuity + Regression         418x360              29       Greyscale      (207, 169)       (218, 21)      (219, 336)
             548          18.897         -10.680               -Continuity + Regression         418x360              29       Greyscale      (207, 169)       (218, 21)      (219, 336)
             549          18.931         -10.716               -Continuity + Regression         418x360              29       Greyscale      (207, 168)       (218, 21)      (219, 336)
             550          18.966         -10.716               -Continuity + Regression         418x360              29       Greyscale      (207, 168)       (218, 21)      (219, 336)
             551          19.000         -10.726               -Continuity + Regression         418x360              29       Greyscale      (207, 169)       (218, 21)      (219, 336)
             552          19.034         -10.742               -Continuity + Regression         418x360              29       Greyscale      (207, 168)       (218, 21)      (219, 336)
             553          19.069         -10.752               -Continuity + Regression         418x360              29       Greyscale      (207, 168)       (218, 21)      (219, 336)
             554          19.103         -10.752               -Continuity + Regression         418x360              29       Greyscale      (207, 168)       (218, 21)      (219, 336)
             555          19.138         -10.810               -Continuity + Regression         418x360              29       Greyscale      (207, 168)       (218, 21)      (219, 336)
             556          19.172         -10.810               -Continuity + Regression         418x360              29       Greyscale      (207, 168)       (218, 21)      (219, 336)
             557          19.207         -10.810               -Continuity + Regression         418x360              29       Greyscale      (207, 168)       (218, 21)      (219, 336)
             558          19.241         -10.835               -Continuity + Regression         418x360              29       Greyscale      (207, 168)       (218, 21)      (219, 336)
             559          19.276         -10.888               -Continuity + Regression         418x360              29       Greyscale      (207, 168)       (218, 21)      (219, 336)
             560          19.310         -10.888               -Continuity + Regression         418x360              29       Greyscale      (207, 168)       (218, 21)      (219, 336)
             561          19.345         -10.888               -Continuity + Regression         418x360              29       Greyscale      (207, 168)       (218, 21)      (219, 336)
             562          19.379         -10.898               -Continuity + Regression         418x360              29       Greyscale      (207, 170)       (218, 21)      (219, 336)
             563          19.414         -10.903               -Continuity + Regression         418x360              29       Greyscale      (207, 169)       (218, 21)      (219, 336)
             564          19.448         -10.903               -Continuity + Regression         418x360              29       Greyscale      (207, 169)       (218, 21)      (219, 336)
             565          19.483         -10.914               -Continuity + Regression         418x360              29       Greyscale      (207, 169)       (218, 21)      (219, 336)
             566          19.517         -10.914               -Continuity + Regression         418x360              29       Greyscale      (207, 169)       (218, 21)      (219, 336)
             567          19.552         -10.914               -Continuity + Regression         418x360              29       Greyscale      (207, 169)       (218, 21)      (219, 336)
             568          19.586         -10.914               -Continuity + Regression         418x360              29       Greyscale      (207, 169)       (218, 21)      (219, 336)
             569          19.621         -10.921               -Continuity + Regression         418x360              29       Greyscale      (207, 169)       (218, 21)      (219, 336)
             570          19.655         -10.941               -Continuity + Regression         418x360              29       Greyscale      (207, 170)       (218, 21)      (219, 336)
             571          19.690         -10.941               -Continuity + Regression         418x360              29       Greyscale      (207, 170)       (218, 21)      (219, 336)
             572          19.724         -10.941               -Continuity + Regression         418x360              29       Greyscale      (207, 170)       (218, 21)      (219, 336)
             573          19.759         -10.954               -Continuity + Regression         418x360              29       Greyscale      (207, 169)       (218, 21)      (219, 336)
             574          19.793         -10.954               -Continuity + Regression         418x360              29       Greyscale      (207, 169)       (218, 21)      (219, 336)
             575          19.828         -10.954               -Continuity + Regression         418x360              29       Greyscale      (207, 169)       (218, 21)      (219, 336)
             576          19.862         -10.970               -Continuity + Regression         418x360              29       Greyscale      (207, 170)       (218, 21)      (219, 336)
             577          19.897         -10.981               -Continuity + Regression         418x360              29       Greyscale      (207, 171)       (218, 21)      (219, 336)
             578          19.931         -10.981               -Continuity + Regression         418x360              29       Greyscale      (207, 171)       (218, 21)      (219, 336)
             579          19.966         -10.981               -Continuity + Regression         418x360              29       Greyscale      (207, 171)       (218, 21)      (219, 336)
             580          20.000         -10.981               -Continuity + Regression         418x360              29       Greyscale      (207, 171)       (218, 21)      (219, 336)
             581          20.034         -11.209               -Continuity + Regression         418x360              29       Greyscale      (207, 170)       (218, 21)      (219, 336)
             582          20.069         -11.222               -Continuity + Regression         418x360              29       Greyscale      (207, 170)       (218, 21)      (219, 336)
             583          20.103         -11.222               -Continuity + Regression         418x360              29       Greyscale      (207, 170)       (218, 21)      (219, 336)
             584          20.138         -11.221               -Continuity + Regression         418x360              29       Greyscale      (207, 170)       (218, 21)      (219, 336)
             585          20.172         -11.221               -Continuity + Regression         418x360              29       Greyscale      (207, 170)       (218, 21)      (219, 336)
             586          20.207         -11.250               -Continuity + Regression         418x360              29       Greyscale      (207, 169)       (218, 21)      (219, 336)
             587          20.241         -11.250               -Continuity + Regression         418x360              29       Greyscale      (207, 169)       (218, 21)      (219, 336)
             588          20.276         -11.393               -Continuity + Regression         418x360              29       Greyscale      (206, 170)       (218, 21)      (219, 336)
             589          20.310         -11.393               -Continuity + Regression         418x360              29       Greyscale      (206, 170)       (218, 21)      (219, 336)
             590          20.345         -11.393               -Continuity + Regression         418x360              29       Greyscale      (206, 170)       (218, 21)      (219, 336)
             591          20.379         -11.393               -Continuity + Regression         418x360              29       Greyscale      (206, 170)       (218, 21)      (219, 336)
             592          20.414         -11.423               -Continuity + Regression         418x360              29       Greyscale      (206, 170)       (218, 21)      (219, 336)
             593          20.448         -11.423               -Continuity + Regression         418x360              29       Greyscale      (206, 170)       (218, 21)      (219, 336)
             594          20.483         -11.423               -Continuity + Regression         418x360              29       Greyscale      (206, 170)       (218, 21)      (219, 336)
             595          20.517         -11.423               -Continuity + Regression         418x360              29       Greyscale      (206, 170)       (218, 21)      (219, 336)
             596          20.552         -11.423               -Continuity + Regression         418x360              29       Greyscale      (206, 170)       (218, 21)      (219, 336)
             597          20.586         -11.468               -Continuity + Regression         418x360              29       Greyscale      (206, 170)       (218, 21)      (219, 336)
             598          20.621         -11.468               -Continuity + Regression         418x360              29       Greyscale      (206, 170)       (218, 21)      (219, 336)
             599          20.655         -11.468               -Continuity + Regression         418x360              29       Greyscale      (206, 170)       (218, 21)      (219, 336)
             600          20.690         -11.480               -Continuity + Regression         418x360              29       Greyscale      (206, 170)       (218, 21)      (219, 336)
             601          20.724         -11.480               -Continuity + Regression         418x360              29       Greyscale      (206, 170)       (218, 21)      (219, 336)
