Video Title: NEMS Buckling Snap Through x2.0.mp4
Unit for displacement: Unit
Note: The coordinate system is anchored at NW 
           Frame        Time (s)              Δx      Confidence           Model      Resolution             FPS          Filter    Center (X,Y)       Top (X,Y)    Bottom (X,Y)
              97           3.345         -10.378               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              98           3.379         -10.366               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              99           3.414         -10.366               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
             100           3.448         -10.366               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
             101           3.483         -10.261               -Continuity + Regression         418x360              29       Greyscale      (205, 170)       (215, 21)      (216, 336)
             102           3.517         -10.004               -Continuity + Regression         418x360              29       Greyscale      (205, 171)       (215, 21)      (216, 336)
             103           3.552          -9.968               -Continuity + Regression         418x360              29       Greyscale      (205, 172)       (215, 21)      (216, 336)
             104           3.586          -9.968               -Continuity + Regression         418x360              29       Greyscale      (205, 172)       (215, 21)      (216, 336)
             105           3.621          -9.968               -Continuity + Regression         418x360              29       Greyscale      (205, 172)       (215, 21)      (216, 336)
             106           3.655          -9.922               -Continuity + Regression         418x360              29       Greyscale      (205, 170)       (215, 21)      (216, 336)
             107           3.690          -9.922               -Continuity + Regression         418x360              29       Greyscale      (205, 170)       (215, 21)      (216, 336)
             108           3.724          -9.922               -Continuity + Regression         418x360              29       Greyscale      (205, 170)       (215, 21)      (216, 336)
             109           3.759          -9.819               -Continuity + Regression         418x360              29       Greyscale      (205, 168)       (215, 21)      (216, 336)
             110           3.793          -8.542               -Continuity + Regression         418x360              29       Greyscale      (205, 166)       (214, 21)      (216, 336)
             111           3.828          -8.710               -Continuity + Regression         418x360              29       Greyscale      (205, 168)       (214, 21)      (215, 336)
             112           3.862          -8.396               -Continuity + Regression         418x360              29       Greyscale      (205, 168)       (214, 21)      (215, 336)
             113           3.897          -8.411               -Continuity + Regression         418x360              29       Greyscale      (205, 168)       (214, 21)      (215, 336)
             114           3.931          -8.381               -Continuity + Regression         418x360              29       Greyscale      (205, 168)       (214, 21)      (215, 336)
             115           3.966          -8.325               -Continuity + Regression         418x360              29       Greyscale      (205, 169)       (214, 21)      (215, 336)
             116           4.000          -8.265               -Continuity + Regression         418x360              29       Greyscale      (206, 169)       (214, 21)      (215, 336)
             117           4.034          -8.265               -Continuity + Regression         418x360              29       Greyscale      (206, 169)       (214, 21)      (215, 336)
             118           4.069          -8.252               -Continuity + Regression         418x360              29       Greyscale      (206, 169)       (214, 21)      (215, 336)
             119           4.103          -8.252               -Continuity + Regression         418x360              29       Greyscale      (206, 169)       (214, 21)      (215, 336)
             120           4.138          -7.105               -Continuity + Regression         418x360              29       Greyscale      (207, 179)       (214, 21)      (215, 336)
             121           4.172          13.307               -Continuity + Regression         418x360              29       Greyscale      (227, 183)       (214, 21)      (215, 336)
             122           4.207          13.405               -Continuity + Regression         418x360              29       Greyscale      (227, 182)       (214, 21)      (215, 336)
             123           4.241          13.453               -Continuity + Regression         418x360              29       Greyscale      (227, 181)       (214, 21)      (215, 336)
             124           4.276          13.757               -Continuity + Regression         418x360              29       Greyscale      (228, 182)       (214, 21)      (215, 336)
             125           4.310          13.807               -Continuity + Regression         418x360              29       Greyscale      (228, 180)       (214, 21)      (215, 336)
             126           4.345          13.807               -Continuity + Regression         418x360              29       Greyscale      (228, 180)       (214, 21)      (215, 336)
             127           4.379          14.053               -Continuity + Regression         418x360              29       Greyscale      (228, 181)       (214, 21)      (215, 336)
             128           4.414          14.065               -Continuity + Regression         418x360              29       Greyscale      (228, 181)       (214, 21)      (215, 336)
             129           4.448          14.098               -Continuity + Regression         418x360              29       Greyscale      (228, 180)       (214, 21)      (215, 336)
             130           4.483          14.169               -Continuity + Regression         418x360              29       Greyscale      (228, 181)       (214, 21)      (215, 336)
             131           4.517          14.177               -Continuity + Regression         418x360              29       Greyscale      (228, 181)       (214, 21)      (215, 336)
             132           4.552          14.200               -Continuity + Regression         418x360              29       Greyscale      (228, 182)       (214, 21)      (215, 336)
             133           4.586          14.304               -Continuity + Regression         418x360              29       Greyscale      (228, 182)       (214, 21)      (215, 336)
             134           4.621          14.304               -Continuity + Regression         418x360              29       Greyscale      (228, 182)       (214, 21)      (215, 336)
             135           4.655          14.307               -Continuity + Regression         418x360              29       Greyscale      (228, 182)       (214, 21)      (215, 336)
             136           4.690          14.564               -Continuity + Regression         418x360              29       Greyscale      (228, 183)       (214, 21)      (215, 336)
             137           4.724          14.630               -Continuity + Regression         418x360              29       Greyscale      (228, 182)       (214, 21)      (215, 336)
             138           4.759          14.630               -Continuity + Regression         418x360              29       Greyscale      (228, 182)       (214, 21)      (215, 336)
             139           4.793          14.708               -Continuity + Regression         418x360              29       Greyscale      (228, 182)       (214, 21)      (215, 336)
             140           4.828          14.704               -Continuity + Regression         418x360              29       Greyscale      (228, 182)       (214, 21)      (215, 336)
             141           4.862          14.704               -Continuity + Regression         418x360              29       Greyscale      (228, 182)       (214, 21)      (215, 336)
             142           4.897          14.704               -Continuity + Regression         418x360              29       Greyscale      (228, 182)       (214, 21)      (215, 336)
             143           4.931          14.748               -Continuity + Regression         418x360              29       Greyscale      (228, 182)       (214, 21)      (215, 336)
             144           4.966          14.766               -Continuity + Regression         418x360              29       Greyscale      (229, 182)       (214, 21)      (215, 336)
             145           5.000          14.875               -Continuity + Regression         418x360              29       Greyscale      (229, 182)       (214, 21)      (215, 336)
             146           5.034          14.916               -Continuity + Regression         418x360              29       Greyscale      (229, 183)       (214, 21)      (215, 336)
             147           5.069          14.916               -Continuity + Regression         418x360              29       Greyscale      (229, 183)       (214, 21)      (215, 336)
             148           5.103          15.067               -Continuity + Regression         418x360              29       Greyscale      (229, 181)       (214, 21)      (215, 336)
             149           5.138          15.067               -Continuity + Regression         418x360              29       Greyscale      (229, 181)       (214, 21)      (215, 336)
             150           5.172          15.067               -Continuity + Regression         418x360              29       Greyscale      (229, 181)       (214, 21)      (215, 336)
             151           5.207          15.148               -Continuity + Regression         418x360              29       Greyscale      (229, 181)       (214, 21)      (215, 336)
             152           5.241          15.148               -Continuity + Regression         418x360              29       Greyscale      (229, 181)       (214, 21)      (215, 336)
             153           5.276          15.148               -Continuity + Regression         418x360              29       Greyscale      (229, 181)       (214, 21)      (215, 336)
             154           5.310          15.158               -Continuity + Regression         418x360              29       Greyscale      (229, 182)       (214, 21)      (215, 336)
             155           5.345          15.158               -Continuity + Regression         418x360              29       Greyscale      (229, 182)       (214, 21)      (215, 336)
             156           5.379          15.179               -Continuity + Regression         418x360              29       Greyscale      (229, 182)       (214, 21)      (215, 336)
             157           5.414          15.194               -Continuity + Regression         418x360              29       Greyscale      (229, 181)       (214, 21)      (215, 336)
             158           5.448          15.206               -Continuity + Regression         418x360              29       Greyscale      (229, 181)       (214, 21)      (215, 336)
             159           5.483          15.214               -Continuity + Regression         418x360              29       Greyscale      (229, 182)       (214, 21)      (215, 336)
             160           5.517          15.214               -Continuity + Regression         418x360              29       Greyscale      (229, 182)       (214, 21)      (215, 336)
             161           5.552          15.248               -Continuity + Regression         418x360              29       Greyscale      (229, 181)       (214, 21)      (215, 336)
             162           5.586          15.278               -Continuity + Regression         418x360              29       Greyscale      (229, 180)       (214, 21)      (215, 336)
             163           5.621          15.311               -Continuity + Regression         418x360              29       Greyscale      (229, 182)       (214, 21)      (215, 336)
             164           5.655          15.311               -Continuity + Regression         418x360              29       Greyscale      (229, 182)       (214, 21)      (215, 336)
             165           5.690          15.311               -Continuity + Regression         418x360              29       Greyscale      (229, 182)       (214, 21)      (215, 336)
             166           5.724          15.320               -Continuity + Regression         418x360              29       Greyscale      (229, 181)       (214, 21)      (215, 336)
             167           5.759          15.320               -Continuity + Regression         418x360              29       Greyscale      (229, 181)       (214, 21)      (215, 336)
             168           5.793          15.383               -Continuity + Regression         418x360              29       Greyscale      (229, 182)       (214, 21)      (215, 336)
             169           5.828          15.383               -Continuity + Regression         418x360              29       Greyscale      (229, 182)       (214, 21)      (215, 336)
             170           5.862          15.412               -Continuity + Regression         418x360              29       Greyscale      (229, 181)       (214, 21)      (215, 336)
             171           5.897          15.416               -Continuity + Regression         418x360              29       Greyscale      (229, 181)       (214, 21)      (215, 336)
             172           5.931          15.416               -Continuity + Regression         418x360              29       Greyscale      (229, 181)       (214, 21)      (215, 336)
             173           5.966          15.416               -Continuity + Regression         418x360              29       Greyscale      (229, 181)       (214, 21)      (215, 336)
             174           6.000          15.461               -Continuity + Regression         418x360              29       Greyscale      (229, 181)       (214, 21)      (215, 336)
             175           6.034          15.458               -Continuity + Regression         418x360              29       Greyscale      (229, 181)       (214, 21)      (215, 336)
             176           6.069          15.458               -Continuity + Regression         418x360              29       Greyscale      (229, 181)       (214, 21)      (215, 336)
             177           6.103          15.522               -Continuity + Regression         418x360              29       Greyscale      (229, 181)       (214, 21)      (215, 336)
             178           6.138          15.522               -Continuity + Regression         418x360              29       Greyscale      (229, 181)       (214, 21)      (215, 336)
             179           6.172          15.511               -Continuity + Regression         418x360              29       Greyscale      (229, 181)       (214, 21)      (215, 336)
             180           6.207          15.512               -Continuity + Regression         418x360              29       Greyscale      (229, 181)       (214, 21)      (215, 336)
             181           6.241          15.586               -Continuity + Regression         418x360              29       Greyscale      (229, 183)       (214, 21)      (215, 336)
             182           6.276          15.586               -Continuity + Regression         418x360              29       Greyscale      (229, 183)       (214, 21)      (215, 336)
             183           6.310          15.780               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             184           6.345          15.780               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             185           6.379          15.788               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             186           6.414          15.882               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             187           6.448          15.882               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             188           6.483          15.882               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             189           6.517          15.882               -Continuity + Regression         418x360              29       Greyscale      (230, 182)       (214, 21)      (215, 336)
             190           6.552          15.901               -Continuity + Regression         418x360              29       Greyscale      (230, 183)       (214, 21)      (215, 336)
